Date,Time,Global active power
1/1/2008,00:00:00,0.3921
1/1/2008,00:15:00,0.38870000000000005
1/1/2008,00:30:00,0.4199333333333332
1/1/2008,00:45:00,0.39973333333333344
1/1/2008,01:00:00,0.3969333333333333
1/1/2008,01:15:00,0.4341333333333333
1/1/2008,01:30:00,0.39610000000000006
1/1/2008,01:45:00,0.3876
1/1/2008,02:00:00,0.4159333333333334
1/1/2008,02:15:00,0.5126666666666666
1/1/2008,02:30:00,0.6987333333333333
1/1/2008,02:45:00,0.6914
1/1/2008,03:00:00,0.6773000000000001
1/1/2008,03:15:00,0.6523000000000001
1/1/2008,03:30:00,0.6747
1/1/2008,03:45:00,0.6947000000000001
1/1/2008,04:00:00,0.7174333333333334
1/1/2008,04:15:00,0.6130666666666668
1/1/2008,04:30:00,0.6237333333333334
1/1/2008,04:45:00,0.5875333333333335
1/1/2008,05:00:00,0.5899999999999999
1/1/2008,05:15:00,0.7016333333333333
1/1/2008,05:30:00,0.5949666666666668
1/1/2008,05:45:00,0.5872666666666667
1/1/2008,06:00:00,0.6197666666666666
1/1/2008,06:15:00,0.6020333333333332
1/1/2008,06:30:00,0.6085999999999999
1/1/2008,06:45:00,0.3691999999999999
1/1/2008,07:00:00,0.33643333333333336
1/1/2008,07:15:00,0.3216333333333334
1/1/2008,07:30:00,0.33666666666666667
1/1/2008,07:45:00,0.34359999999999996
1/1/2008,08:00:00,0.3192333333333332
1/1/2008,08:15:00,0.32669999999999993
1/1/2008,08:30:00,0.3547
1/1/2008,08:45:00,0.32116666666666666
1/1/2008,09:00:00,0.33899999999999997
1/1/2008,09:15:00,0.3680333333333332
1/1/2008,09:30:00,0.3284666666666667
1/1/2008,09:45:00,0.3210333333333333
1/1/2008,10:00:00,0.3522666666666667
1/1/2008,10:15:00,0.10799999999999996
1/1/2008,10:30:00,0.21459999999999999
1/1/2008,10:45:00,0.13243333333333335
1/1/2008,11:00:00,0.10260000000000001
1/1/2008,11:15:00,0.14736666666666667
1/1/2008,11:30:00,0.19393333333333332
1/1/2008,11:45:00,0.197
1/1/2008,12:00:00,0.7496333333333333
1/1/2008,12:15:00,1.0014333333333336
1/1/2008,12:30:00,0.7126666666666667
1/1/2008,12:45:00,0.5291
1/1/2008,13:00:00,0.7019666666666666
1/1/2008,13:15:00,0.7936333333333333
1/1/2008,13:30:00,0.2194666666666667
1/1/2008,13:45:00,0.3428666666666667
1/1/2008,14:00:00,0.8909666666666667
1/1/2008,14:15:00,0.7908333333333333
1/1/2008,14:30:00,0.5954666666666669
1/1/2008,14:45:00,0.7784000000000001
1/1/2008,15:00:00,0.7073666666666667
1/1/2008,15:15:00,0.37986666666666663
1/1/2008,15:30:00,0.3915
1/1/2008,15:45:00,0.35043333333333326
1/1/2008,16:00:00,0.3452
1/1/2008,16:15:00,0.44113333333333343
1/1/2008,16:30:00,0.30406666666666665
1/1/2008,16:45:00,0.0721
1/1/2008,17:00:00,0.08343333333333332
1/1/2008,17:15:00,0.07736666666666667
1/1/2008,17:30:00,0.15059999999999998
1/1/2008,17:45:00,0.2985
1/1/2008,18:00:00,0.40316666666666673
1/1/2008,18:15:00,0.40770000000000006
1/1/2008,18:30:00,0.4856666666666666
1/1/2008,18:45:00,0.5140333333333333
1/1/2008,19:00:00,0.6690666666666667
1/1/2008,19:15:00,0.8326333333333334
1/1/2008,19:30:00,0.6561333333333333
1/1/2008,19:45:00,0.6708666666666667
1/1/2008,20:00:00,0.7071666666666667
1/1/2008,20:15:00,0.739
1/1/2008,20:30:00,0.7931333333333332
1/1/2008,20:45:00,0.5662333333333335
1/1/2008,21:00:00,0.8017666666666667
1/1/2008,21:15:00,0.8695666666666667
1/1/2008,21:30:00,0.8206666666666667
1/1/2008,21:45:00,0.6990666666666667
1/1/2008,22:00:00,0.7294999999999999
1/1/2008,22:15:00,0.5908666666666665
1/1/2008,22:30:00,0.6508333333333334
1/1/2008,22:45:00,0.9844000000000002
1/1/2008,23:00:00,0.8113999999999998
1/1/2008,23:15:00,0.35726666666666673
1/1/2008,23:30:00,0.22836666666666666
1/1/2008,23:45:00,0.2385
2/1/2008,00:00:00,0.363
2/1/2008,00:15:00,0.5815333333333333
2/1/2008,00:30:00,0.11406666666666666
2/1/2008,00:45:00,0.10010000000000001
2/1/2008,01:00:00,0.09326666666666666
2/1/2008,01:15:00,0.10746666666666667
2/1/2008,01:30:00,0.08983333333333332
2/1/2008,01:45:00,0.08723333333333333
2/1/2008,02:00:00,0.11363333333333332
2/1/2008,02:15:00,0.09636666666666667
2/1/2008,02:30:00,0.08406666666666669
2/1/2008,02:45:00,0.10333333333333333
2/1/2008,03:00:00,0.078
2/1/2008,03:15:00,0.07039999999999998
2/1/2008,03:30:00,0.09856666666666668
2/1/2008,03:45:00,0.08269999999999998
2/1/2008,04:00:00,0.07196666666666666
2/1/2008,04:15:00,0.09516666666666666
2/1/2008,04:30:00,0.0876666666666667
2/1/2008,04:45:00,0.07923333333333332
2/1/2008,05:00:00,0.10963333333333335
2/1/2008,05:15:00,0.09916666666666667
2/1/2008,05:30:00,0.07299999999999998
2/1/2008,05:45:00,0.08330000000000001
2/1/2008,06:00:00,0.09506666666666669
2/1/2008,06:15:00,0.07763333333333333
2/1/2008,06:30:00,0.3005333333333333
2/1/2008,06:45:00,0.3618999999999999
2/1/2008,07:00:00,0.15089999999999998
2/1/2008,07:15:00,0.08309999999999998
2/1/2008,07:30:00,0.08936666666666668
2/1/2008,07:45:00,0.11183333333333333
2/1/2008,08:00:00,0.08716666666666666
